episode,ep_length,ep_env_return
1,114.0,0.0
2,121.0,2.0
3,119.0,2.0
4,111.0,0.0
5,110.0,1.0
6,126.0,1.0
7,109.0,1.0
8,123.0,0.0
9,122.0,3.0
10,113.0,2.0
11,103.0,1.0
12,106.0,3.0
13,118.0,1.0
14,128.0,1.0
15,117.0,0.0
16,130.0,0.0
17,124.0,2.0
18,100.0,3.0
19,119.0,2.0
20,118.0,2.0
20,,
21,131.0,3.0
22,135.0,0.0
23,101.0,3.0
24,112.0,3.0
25,122.0,0.0
26,128.0,1.0
27,119.0,1.0
28,102.0,2.0
29,123.0,1.0
30,126.0,0.0
31,114.0,0.0
32,108.0,2.0
33,104.0,1.0
34,95.0,0.0
35,133.0,1.0
36,116.0,3.0
37,101.0,2.0
38,96.0,0.0
39,107.0,3.0
40,114.0,3.0
40,,
41,93.0,3.0
42,99.0,1.0
43,109.0,3.0
44,113.0,0.0
45,102.0,0.0
46,102.0,2.0
47,113.0,0.0
48,121.0,1.0
49,104.0,0.0
50,100.0,1.0
51,98.0,1.0
52,111.0,1.0
53,112.0,1.0
54,106.0,1.0
55,101.0,2.0
56,102.0,1.0
57,111.0,3.0
58,116.0,3.0
59,134.0,0.0
60,114.0,3.0
60,,
61,102.0,0.0
62,98.0,0.0
63,87.0,3.0
64,92.0,0.0
65,106.0,2.0
66,103.0,1.0
67,103.0,3.0
68,109.0,2.0
69,113.0,2.0
70,118.0,3.0
71,105.0,1.0
72,110.0,2.0
73,101.0,3.0
74,97.0,3.0
75,108.0,3.0
76,111.0,3.0
77,103.0,0.0
78,91.0,1.0
79,101.0,3.0
80,97.0,3.0
80,,
81,90.0,2.0
82,82.0,3.0
83,98.0,2.0
84,93.0,3.0
85,98.0,1.0
86,112.0,2.0
87,88.0,1.0
88,114.0,0.0
89,100.0,2.0
90,103.0,3.0
91,107.0,0.0
92,116.0,1.0
93,103.0,3.0
94,124.0,2.0
95,111.0,1.0
96,100.0,0.0
97,96.0,2.0
98,114.0,3.0
99,119.0,0.0
100,97.0,3.0
100,,
101,88.0,0.0
102,109.0,2.0
103,88.0,3.0
104,103.0,0.0
105,108.0,2.0
106,104.0,1.0
107,119.0,0.0
108,108.0,3.0
109,112.0,2.0
110,106.0,3.0
111,80.0,0.0
112,91.0,3.0
113,101.0,3.0
114,94.0,0.0
115,93.0,1.0
116,100.0,0.0
117,84.0,3.0
118,104.0,3.0
119,105.0,2.0
120,106.0,2.0
120,,
121,97.0,2.0
122,86.0,1.0
123,88.0,3.0
124,126.0,2.0
125,106.0,0.0
126,103.0,2.0
127,106.0,3.0
128,84.0,0.0
129,88.0,0.0
130,93.0,3.0
131,86.0,3.0
132,98.0,2.0
133,101.0,3.0
134,97.0,2.0
135,107.0,1.0
136,96.0,3.0
137,99.0,3.0
138,112.0,2.0
139,90.0,2.0
140,86.0,3.0
140,,
141,93.0,3.0
142,88.0,1.0
143,84.0,2.0
144,86.0,1.0
145,92.0,2.0
146,105.0,1.0
147,93.0,0.0
148,93.0,1.0
149,100.0,1.0
150,91.0,3.0
151,89.0,3.0
152,94.0,0.0
153,106.0,2.0
154,101.0,0.0
155,83.0,2.0
156,104.0,0.0
157,105.0,0.0
158,80.0,2.0
159,98.0,1.0
160,78.0,2.0
160,,
161,119.0,2.0
162,93.0,2.0
163,90.0,2.0
164,99.0,1.0
165,85.0,0.0
166,74.0,1.0
167,89.0,1.0
168,86.0,3.0
169,85.0,1.0
170,92.0,3.0
171,98.0,0.0
172,93.0,3.0
173,84.0,0.0
174,100.0,1.0
175,106.0,1.0
176,97.0,2.0
177,111.0,1.0
178,101.0,2.0
179,100.0,3.0
180,109.0,1.0
180,,
181,92.0,0.0
182,97.0,2.0
183,86.0,1.0
184,95.0,2.0
185,87.0,0.0
186,99.0,3.0
