opponent,episode,p0,p1,p2,p3
single_only,500,0.4135,0.166,0.2395,0.181
max_combo,500,0.2055,0.1865,0.2405,0.3675
random2,500,0.208,0.248,0.2705,0.2735
v_table,500,0.147,0.1235,0.179,0.5505
single_only,1000,0.479,0.1385,0.208,0.1745
max_combo,1000,0.304,0.1835,0.2155,0.297
random2,1000,0.3135,0.242,0.238,0.2065
v_table,1000,0.192,0.1765,0.198,0.4335
single_only,1500,0.5865,0.113,0.1845,0.116
max_combo,1500,0.273,0.216,0.241,0.27
random2,1500,0.3335,0.2335,0.237,0.196
v_table,1500,0.2075,0.1655,0.1985,0.4285
single_only,2000,0.6265,0.1015,0.1605,0.1115
max_combo,2000,0.324,0.2005,0.2275,0.248
random2,2000,0.34,0.266,0.233,0.161
v_table,2000,0.2285,0.2075,0.172,0.392
single_only,2500,0.659,0.1055,0.149,0.0865
max_combo,2500,0.3265,0.254,0.228,0.1915
random2,2500,0.3805,0.273,0.2045,0.142
v_table,2500,0.237,0.201,0.1885,0.3735
single_only,3000,0.651,0.1115,0.1485,0.089
max_combo,3000,0.358,0.2425,0.21,0.1895
random2,3000,0.383,0.284,0.2105,0.1225
v_table,3000,0.2255,0.217,0.202,0.3555
single_only,3500,0.6505,0.1125,0.1575,0.0795
max_combo,3500,0.3455,0.253,0.2125,0.189
random2,3500,0.3805,0.287,0.204,0.1285
v_table,3500,0.2065,0.214,0.2215,0.358
single_only,4000,0.6595,0.124,0.144,0.0725
max_combo,4000,0.3675,0.249,0.206,0.1775
random2,4000,0.3905,0.288,0.198,0.1235
v_table,4000,0.2565,0.204,0.212,0.3275
single_only,4500,0.6265,0.1205,0.166,0.087
max_combo,4500,0.3565,0.25,0.213,0.1805
random2,4500,0.397,0.2945,0.199,0.1095
v_table,4500,0.2175,0.22,0.257,0.3055
single_only,5000,0.62,0.143,0.156,0.081
max_combo,5000,0.3525,0.239,0.229,0.1795
random2,5000,0.426,0.293,0.1785,0.1025
v_table,5000,0.2345,0.2245,0.2525,0.2885
single_only,5500,0.6415,0.1305,0.1575,0.0705
max_combo,5500,0.3535,0.261,0.206,0.1795
random2,5500,0.418,0.286,0.1995,0.0965
v_table,5500,0.2495,0.2095,0.224,0.317
single_only,6000,0.6645,0.1215,0.147,0.067
max_combo,6000,0.3745,0.253,0.2075,0.165
random2,6000,0.4,0.289,0.2005,0.1105
v_table,6000,0.2535,0.2185,0.2145,0.3135
single_only,6500,0.652,0.123,0.1455,0.0795
max_combo,6500,0.349,0.2475,0.2155,0.188
random2,6500,0.4115,0.283,0.201,0.1045
v_table,6500,0.2195,0.249,0.2195,0.312
single_only,7000,0.6365,0.127,0.1585,0.078
max_combo,7000,0.375,0.236,0.2095,0.1795
random2,7000,0.3985,0.3025,0.2025,0.0965
v_table,7000,0.236,0.2125,0.226,0.3255
single_only,7500,0.648,0.129,0.151,0.072
max_combo,7500,0.38,0.2275,0.202,0.1905
random2,7500,0.405,0.2885,0.1995,0.107
v_table,7500,0.243,0.214,0.2195,0.3235
single_only,8000,0.653,0.1275,0.1555,0.064
max_combo,8000,0.3695,0.24,0.203,0.1875
random2,8000,0.431,0.288,0.179,0.102
v_table,8000,0.2095,0.2485,0.2315,0.3105
single_only,8500,0.648,0.127,0.155,0.07
max_combo,8500,0.392,0.232,0.199,0.177
random2,8500,0.414,0.29,0.1905,0.1055
v_table,8500,0.247,0.2255,0.222,0.3055
