opponent,episode,p0,p1,p2,p3
single_only,500,0.503,0.127,0.1865,0.1835
max_combo,500,0.263,0.22,0.2215,0.2955
random2,500,0.2875,0.265,0.2425,0.205
v_table,500,0.168,0.186,0.166,0.48
single_only,1000,0.534,0.149,0.1925,0.1245
max_combo,1000,0.287,0.227,0.225,0.261
random2,1000,0.3245,0.2825,0.222,0.171
v_table,1000,0.172,0.222,0.1725,0.4335
single_only,1500,0.537,0.136,0.1905,0.1365
max_combo,1500,0.29,0.238,0.228,0.244
random2,1500,0.326,0.2635,0.224,0.1865
v_table,1500,0.1875,0.2075,0.185,0.42
single_only,2000,0.5385,0.12,0.197,0.1445
max_combo,2000,0.298,0.2235,0.2155,0.263
random2,2000,0.3375,0.257,0.2185,0.187
v_table,2000,0.185,0.193,0.189,0.433
single_only,2500,0.5385,0.1245,0.182,0.155
max_combo,2500,0.298,0.219,0.2265,0.2565
random2,2500,0.323,0.2575,0.2205,0.199
v_table,2500,0.1785,0.2235,0.188,0.41
single_only,3000,0.555,0.1275,0.174,0.1435
max_combo,3000,0.3015,0.2105,0.215,0.273
random2,3000,0.3025,0.2705,0.228,0.199
v_table,3000,0.2,0.208,0.1685,0.4235
single_only,3500,0.5705,0.1155,0.179,0.135
max_combo,3500,0.304,0.221,0.212,0.263
random2,3500,0.33,0.265,0.2265,0.1785
v_table,3500,0.2005,0.208,0.17,0.4215
single_only,4000,0.593,0.124,0.173,0.11
max_combo,4000,0.305,0.214,0.233,0.248
random2,4000,0.323,0.271,0.237,0.169
v_table,4000,0.185,0.2045,0.211,0.3995
single_only,4500,0.563,0.137,0.162,0.138
max_combo,4500,0.3015,0.2045,0.2295,0.2645
random2,4500,0.322,0.262,0.214,0.202
v_table,4500,0.194,0.2125,0.1855,0.408
single_only,5000,0.5575,0.133,0.1615,0.148
max_combo,5000,0.2945,0.2415,0.2045,0.2595
random2,5000,0.3235,0.257,0.218,0.2015
v_table,5000,0.1775,0.2245,0.173,0.425
single_only,5500,0.584,0.1315,0.1915,0.093
max_combo,5500,0.3025,0.237,0.236,0.2245
random2,5500,0.341,0.2645,0.225,0.1695
v_table,5500,0.1775,0.225,0.198,0.3995
single_only,6000,0.496,0.1905,0.187,0.1265
max_combo,6000,0.274,0.235,0.2425,0.2485
random2,6000,0.3555,0.276,0.216,0.1525
v_table,6000,0.1615,0.244,0.2115,0.383
single_only,6500,0.588,0.131,0.165,0.116
max_combo,6500,0.3085,0.2225,0.2295,0.2395
random2,6500,0.3315,0.292,0.216,0.1605
v_table,6500,0.1905,0.2165,0.192,0.401
single_only,7000,0.6055,0.1155,0.168,0.111
max_combo,7000,0.3275,0.23,0.225,0.2175
random2,7000,0.367,0.2805,0.2335,0.119
v_table,7000,0.2135,0.2235,0.1955,0.3675
single_only,7500,0.611,0.1155,0.164,0.1095
max_combo,7500,0.3135,0.228,0.2245,0.234
random2,7500,0.3445,0.2795,0.219,0.157
v_table,7500,0.222,0.215,0.188,0.375
single_only,8000,0.5705,0.1525,0.194,0.083
max_combo,8000,0.289,0.249,0.235,0.227
random2,8000,0.343,0.281,0.227,0.149
v_table,8000,0.188,0.2355,0.202,0.3745
single_only,8500,0.579,0.1435,0.1575,0.12
max_combo,8500,0.2865,0.2295,0.2415,0.2425
random2,8500,0.334,0.274,0.2285,0.1635
v_table,8500,0.1795,0.2215,0.2025,0.3965
single_only,9000,0.574,0.1415,0.1715,0.113
max_combo,9000,0.29,0.235,0.2175,0.2575
random2,9000,0.3285,0.2795,0.221,0.171
v_table,9000,0.183,0.234,0.195,0.388
single_only,9500,0.578,0.1345,0.1785,0.109
max_combo,9500,0.3105,0.2495,0.221,0.219
random2,9500,0.3665,0.2735,0.21,0.15
v_table,9500,0.1795,0.224,0.2055,0.391
single_only,10000,0.585,0.1375,0.178,0.0995
max_combo,10000,0.303,0.2715,0.2145,0.211
random2,10000,0.322,0.2925,0.228,0.1575
v_table,10000,0.188,0.2365,0.2,0.3755
single_only,10500,0.561,0.125,0.208,0.106
max_combo,10500,0.313,0.266,0.2045,0.2165
random2,10500,0.3465,0.2775,0.2395,0.1365
v_table,10500,0.1885,0.215,0.227,0.3695
single_only,11000,0.6035,0.123,0.164,0.1095
max_combo,11000,0.3185,0.247,0.224,0.2105
random2,11000,0.3705,0.26,0.2265,0.143
v_table,11000,0.1885,0.2375,0.2115,0.3625
