episode,steps,ep_seconds,train_seconds,eval_seconds,plot_seconds,save_seconds,cum_seconds,eps_per_sec_total,eps_per_sec_window
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,78,0.01429860305506736,0.0031466479413211346,0.0,0.0,0.0,10.551301424042322,47.3875193121385,47.3875193121385
1000,87,0.024529307964257896,0.00450131599791348,0.0,0.0,0.0,21.595468365005217,46.306011200964214,45.27276730538148
1500,77,0.017765586962923408,0.003299258998595178,0.0,0.0,0.0,32.08106517104898,46.7565522529361,47.684457952055396
2000,75,0.019923109095543623,0.0032662240555509925,0.0,0.0,0.0,42.89263546606526,46.628051139042526,46.24675105987895
2500,81,0.017819736036472023,0.0031624389812350273,0.0,0.0,0.0,52.40596285904758,47.7044951301451,52.55784641332056
3000,72,0.01894144795369357,0.004006417002528906,0.0,0.0,0.0,62.09699390898459,48.31151737227558,51.594097410641346
3500,86,0.0195288680261001,0.0032344209030270576,0.0,0.0,0.0,72.30142779799644,48.40844927404033,48.998308523356755
4000,77,56.51786521298345,0.003410941921174526,54.383190550957806,2.11233525397256,0.0035912609891965985,139.5261371480301,28.66846371412264,7.4377413429419255
4500,75,0.02203686803113669,0.004926261957734823,0.0,0.0,0.0,149.73012570897117,30.05407214274702,49.000446934437484
5000,73,0.01578048395458609,0.0031263770069926977,0.0,0.0,0.0,159.7296121129766,31.30289953038579,50.002568111870005
5500,67,0.01363385992590338,0.003326619043946266,0.0,0.0,0.0,169.73689069401007,32.40309149950802,49.96363356443751
6000,84,0.020857598050497472,0.0034314050571992993,0.0,0.0,0.0,179.03586469497532,33.51283839258823,53.76937283060469
