opponent,episode,p0,p1,p2,p3
single_only,500,0.3675,0.2155,0.24,0.177
max_combo,500,0.0895,0.1545,0.265,0.491
random2,500,0.2855,0.2985,0.234,0.182
single_only,1000,0.7945,0.0885,0.0775,0.0395
max_combo,1000,0.1415,0.171,0.2495,0.438
random2,1000,0.435,0.296,0.171,0.098
single_only,1500,0.786,0.1045,0.076,0.0335
max_combo,1500,0.1925,0.1935,0.254,0.36
random2,1500,0.537,0.2685,0.1285,0.066
single_only,2000,0.871,0.07,0.046,0.013
max_combo,2000,0.2085,0.2355,0.256,0.3
random2,2000,0.6045,0.251,0.108,0.0365
single_only,2500,0.8575,0.0955,0.0295,0.0175
max_combo,2500,0.2145,0.2245,0.217,0.344
random2,2500,0.6455,0.2285,0.0905,0.0355
single_only,3000,0.794,0.151,0.039,0.016
max_combo,3000,0.196,0.2305,0.246,0.3275
random2,3000,0.6605,0.225,0.082,0.0325
single_only,3500,0.8315,0.1225,0.0375,0.0085
max_combo,3500,0.245,0.2645,0.258,0.2325
random2,3500,0.7005,0.2065,0.0675,0.0255
single_only,4000,0.712,0.1885,0.077,0.0225
max_combo,4000,0.235,0.259,0.2755,0.2305
random2,4000,0.6675,0.22,0.077,0.0355
single_only,4500,0.756,0.1515,0.0705,0.022
max_combo,4500,0.282,0.2605,0.244,0.2135
random2,4500,0.6875,0.223,0.066,0.0235
single_only,5000,0.6935,0.207,0.077,0.0225
max_combo,5000,0.315,0.2645,0.2305,0.19
random2,5000,0.705,0.2055,0.069,0.0205
single_only,5500,0.743,0.171,0.0665,0.0195
max_combo,5500,0.3335,0.289,0.2105,0.167
random2,5500,0.764,0.168,0.0535,0.0145
single_only,6000,0.7405,0.1895,0.056,0.014
max_combo,6000,0.373,0.273,0.1885,0.1655
random2,6000,0.775,0.168,0.04,0.017
single_only,6500,0.721,0.198,0.0645,0.0165
max_combo,6500,0.3845,0.2985,0.1885,0.1285
random2,6500,0.794,0.163,0.0335,0.0095
single_only,7000,0.8035,0.132,0.053,0.0115
max_combo,7000,0.393,0.2645,0.194,0.1485
random2,7000,0.7825,0.17,0.0355,0.012
single_only,7500,0.7565,0.171,0.061,0.0115
max_combo,7500,0.409,0.267,0.1825,0.1415
random2,7500,0.811,0.144,0.035,0.01
single_only,8000,0.788,0.1455,0.0525,0.014
max_combo,8000,0.397,0.283,0.193,0.127
random2,8000,0.83,0.1305,0.0285,0.011
single_only,8500,0.8375,0.1255,0.03,0.007
max_combo,8500,0.4095,0.2745,0.1865,0.1295
random2,8500,0.817,0.1375,0.0325,0.013
single_only,9000,0.806,0.139,0.0485,0.0065
max_combo,9000,0.4175,0.2685,0.186,0.128
random2,9000,0.7935,0.163,0.0365,0.007
single_only,9500,0.8375,0.1215,0.035,0.006
max_combo,9500,0.382,0.3005,0.194,0.1235
random2,9500,0.804,0.158,0.029,0.009
single_only,10000,0.8345,0.1295,0.0265,0.0095
max_combo,10000,0.4265,0.2895,0.1775,0.1065
random2,10000,0.821,0.1435,0.0315,0.004
single_only,10500,0.8595,0.11,0.024,0.0065
max_combo,10500,0.448,0.279,0.1675,0.1055
random2,10500,0.8125,0.151,0.0275,0.009
single_only,11000,0.8425,0.118,0.033,0.0065
max_combo,11000,0.4525,0.2705,0.175,0.102
random2,11000,0.832,0.13,0.0295,0.0085
single_only,11500,0.826,0.1245,0.039,0.0105
max_combo,11500,0.4495,0.279,0.182,0.0895
random2,11500,0.8105,0.153,0.0325,0.004
single_only,12000,0.874,0.0865,0.033,0.0065
max_combo,12000,0.464,0.2785,0.1585,0.099
random2,12000,0.8495,0.127,0.0195,0.004
single_only,12500,0.8535,0.1095,0.029,0.008
max_combo,12500,0.4705,0.2875,0.1505,0.0915
random2,12500,0.855,0.1245,0.017,0.0035
single_only,13000,0.883,0.078,0.032,0.007
max_combo,13000,0.4415,0.2875,0.174,0.097
random2,13000,0.8175,0.1555,0.022,0.005
single_only,13500,0.89,0.0735,0.032,0.0045
max_combo,13500,0.444,0.2935,0.156,0.1065
random2,13500,0.8455,0.1245,0.0235,0.0065
single_only,14000,0.8705,0.097,0.027,0.0055
max_combo,14000,0.486,0.2545,0.152,0.1075
random2,14000,0.834,0.1265,0.0295,0.01
single_only,14500,0.8865,0.085,0.0225,0.006
max_combo,14500,0.486,0.2645,0.163,0.0865
random2,14500,0.825,0.1395,0.031,0.0045
single_only,15000,0.873,0.0945,0.0225,0.01
max_combo,15000,0.4665,0.2695,0.1545,0.1095
random2,15000,0.83,0.134,0.0255,0.0105
single_only,15500,0.897,0.081,0.017,0.005
max_combo,15500,0.4435,0.277,0.177,0.1025
random2,15500,0.834,0.1335,0.0235,0.009
single_only,16000,0.8635,0.1085,0.023,0.005
max_combo,16000,0.4565,0.277,0.172,0.0945
random2,16000,0.8265,0.1385,0.025,0.01
single_only,16500,0.8745,0.0975,0.0205,0.0075
max_combo,16500,0.478,0.255,0.1595,0.1075
random2,16500,0.8215,0.143,0.027,0.0085
single_only,17000,0.894,0.078,0.0195,0.0085
max_combo,17000,0.5065,0.2645,0.134,0.095
random2,17000,0.8535,0.1205,0.0215,0.0045
single_only,17500,0.8615,0.102,0.029,0.0075
max_combo,17500,0.485,0.2685,0.146,0.1005
random2,17500,0.839,0.131,0.023,0.007
single_only,18000,0.86,0.101,0.0295,0.0095
max_combo,18000,0.4885,0.2575,0.1475,0.1065
random2,18000,0.8555,0.1195,0.019,0.006
single_only,18500,0.8955,0.0825,0.0165,0.0055
max_combo,18500,0.4555,0.278,0.1535,0.113
random2,18500,0.823,0.144,0.025,0.008
single_only,19000,0.8515,0.1025,0.034,0.012
max_combo,19000,0.483,0.2525,0.143,0.1215
random2,19000,0.847,0.1245,0.021,0.0075
single_only,19500,0.8665,0.1005,0.025,0.008
max_combo,19500,0.506,0.2605,0.135,0.0985
random2,19500,0.8415,0.1325,0.0205,0.0055
single_only,20000,0.874,0.091,0.027,0.008
max_combo,20000,0.488,0.2655,0.147,0.0995
