opponent,episode,p0,p1,p2,p3
single_only,20000,0.4274,0.1944,0.2288,0.1494
max_combo,20000,0.2378,0.2522,0.272,0.238
random2,20000,0.2936,0.294,0.2706,0.1418
v_table,20000,0.1586,0.2316,0.2446,0.3652
single_only,40000,0.5042,0.1594,0.1924,0.144
max_combo,40000,0.3084,0.2332,0.2222,0.2362
random2,40000,0.3578,0.2856,0.2166,0.14
v_table,40000,0.2158,0.2146,0.2192,0.3504
single_only,60000,0.532,0.1556,0.1856,0.1268
max_combo,60000,0.3152,0.2372,0.2304,0.2172
random2,60000,0.345,0.3018,0.2228,0.1304
v_table,60000,0.2102,0.2372,0.2304,0.3222
single_only,80000,0.5584,0.1418,0.1846,0.1152
max_combo,80000,0.325,0.2432,0.2324,0.1994
random2,80000,0.3664,0.2932,0.2142,0.1262
v_table,80000,0.2112,0.2504,0.2444,0.294
single_only,100000,0.5176,0.1484,0.1986,0.1354
max_combo,100000,0.3034,0.234,0.2466,0.216
random2,100000,0.351,0.2896,0.2306,0.1288
v_table,100000,0.1986,0.2358,0.245,0.3206
single_only,120000,0.5268,0.1342,0.2066,0.1324
max_combo,120000,0.3156,0.233,0.24,0.2114
random2,120000,0.3646,0.2896,0.2196,0.1262
v_table,120000,0.21,0.2128,0.2576,0.3196
single_only,140000,0.5254,0.1368,0.209,0.1288
max_combo,140000,0.3102,0.2378,0.2552,0.1968
random2,140000,0.3678,0.2848,0.2308,0.1166
v_table,140000,0.2262,0.2276,0.227,0.3192
single_only,160000,0.5054,0.1592,0.218,0.1174
max_combo,160000,0.3072,0.2364,0.25,0.2064
random2,160000,0.3616,0.3002,0.216,0.1222
v_table,160000,0.2238,0.223,0.2244,0.3288
single_only,180000,0.5282,0.1274,0.2334,0.111
max_combo,180000,0.334,0.2158,0.2582,0.192
random2,180000,0.3676,0.2618,0.2556,0.115
v_table,180000,0.2312,0.219,0.2326,0.3172
single_only,200000,0.5364,0.1382,0.2,0.1254
max_combo,200000,0.3224,0.228,0.2448,0.2048
random2,200000,0.3724,0.2788,0.2242,0.1246
v_table,200000,0.2266,0.2172,0.2266,0.3296
single_only,220000,0.5468,0.1262,0.2014,0.1256
max_combo,220000,0.3252,0.2274,0.2356,0.2118
random2,220000,0.3714,0.2698,0.2316,0.1272
v_table,220000,0.2336,0.2236,0.2386,0.3042
single_only,240000,0.5268,0.148,0.2088,0.1164
max_combo,240000,0.3042,0.2364,0.2458,0.2136
random2,240000,0.3606,0.3046,0.2248,0.11
v_table,240000,0.2158,0.2434,0.2436,0.2972
single_only,260000,0.5552,0.1186,0.2054,0.1208
max_combo,260000,0.327,0.2216,0.2462,0.2052
random2,260000,0.3824,0.2806,0.2282,0.1088
v_table,260000,0.2286,0.2256,0.2346,0.3112
single_only,280000,0.5796,0.122,0.1808,0.1176
max_combo,280000,0.3324,0.2254,0.2392,0.203
random2,280000,0.3584,0.2848,0.2268,0.13
v_table,280000,0.2422,0.2206,0.2264,0.3108
single_only,300000,0.516,0.163,0.1962,0.1248
max_combo,300000,0.3034,0.2398,0.2346,0.2222
random2,300000,0.3556,0.3056,0.228,0.1108
v_table,300000,0.2122,0.2426,0.2406,0.3046
single_only,320000,0.5676,0.1256,0.1874,0.1194
max_combo,320000,0.327,0.2308,0.24,0.2022
random2,320000,0.3722,0.279,0.225,0.1238
v_table,320000,0.2322,0.225,0.2282,0.3146
single_only,340000,0.5592,0.1124,0.201,0.1274
max_combo,340000,0.312,0.2238,0.2372,0.227
random2,340000,0.36,0.2684,0.243,0.1286
v_table,340000,0.2248,0.2396,0.2356,0.3
single_only,360000,0.5574,0.1322,0.1852,0.1252
max_combo,360000,0.329,0.2344,0.2142,0.2224
random2,360000,0.3652,0.2816,0.2208,0.1324
v_table,360000,0.245,0.23,0.2144,0.3106
single_only,380000,0.5694,0.1438,0.1918,0.095
max_combo,380000,0.3078,0.2554,0.2378,0.199
random2,380000,0.3732,0.2924,0.2262,0.1082
v_table,380000,0.2274,0.2338,0.2454,0.2934
single_only,400000,0.5708,0.1304,0.1934,0.1054
max_combo,400000,0.3364,0.225,0.2372,0.2014
random2,400000,0.3748,0.2818,0.2226,0.1208
v_table,400000,0.242,0.2232,0.2456,0.2892
single_only,420000,0.5748,0.1232,0.1834,0.1186
max_combo,420000,0.324,0.2356,0.2206,0.2198
random2,420000,0.3734,0.2836,0.2118,0.1312
v_table,420000,0.2334,0.2174,0.2354,0.3138
single_only,440000,0.5512,0.1316,0.1886,0.1286
max_combo,440000,0.324,0.2228,0.2232,0.23
random2,440000,0.3636,0.282,0.2258,0.1286
v_table,440000,0.2334,0.2248,0.2374,0.3044
single_only,460000,0.553,0.1346,0.2032,0.1092
max_combo,460000,0.323,0.2406,0.2344,0.202
random2,460000,0.3734,0.285,0.2226,0.119
v_table,460000,0.2252,0.2302,0.2358,0.3088
single_only,480000,0.5312,0.1422,0.2072,0.1194
max_combo,480000,0.313,0.237,0.2418,0.2082
random2,480000,0.364,0.2818,0.229,0.1252
v_table,480000,0.2284,0.2306,0.241,0.3
single_only,500000,0.5178,0.1398,0.2092,0.1332
max_combo,500000,0.3052,0.2416,0.2404,0.2128
random2,500000,0.3558,0.2862,0.222,0.136
v_table,500000,0.2316,0.2302,0.2348,0.3034
single_only,520000,0.4876,0.172,0.2138,0.1266
max_combo,520000,0.3078,0.2358,0.252,0.2044
random2,520000,0.355,0.28,0.2326,0.1324
v_table,520000,0.2164,0.2256,0.2554,0.3026
single_only,540000,0.5434,0.121,0.206,0.1296
max_combo,540000,0.3216,0.2312,0.2374,0.2098
random2,540000,0.3626,0.2608,0.2306,0.146
v_table,540000,0.2218,0.2346,0.2228,0.3208
single_only,560000,0.5376,0.1334,0.1816,0.1474
max_combo,560000,0.3162,0.2078,0.2326,0.2434
