episode,ep_length,ep_env_return_p0,ep_shaping_return_p0,ep_final_bonus_p0,ep_env_return_avg,ep_shaping_return_avg,ep_final_bonus_avg,epsilon_p0
1,32.0,3.0,0.0,0.0,1.5,0.0,0.0,1.0
2,41.0,3.0,0.0,0.0,1.5,0.0,0.0,1.0
3,31.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
4,31.0,3.0,0.0,0.0,1.5,0.0,0.0,1.0
5,30.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
6,27.0,3.0,0.0,0.0,1.5,0.0,0.0,1.0
7,32.0,1.0,0.0,0.0,1.5,0.0,0.0,1.0
8,37.0,1.0,0.0,0.0,1.5,0.0,0.0,1.0
9,33.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
10,38.0,0.0,0.0,0.0,1.5,0.0,0.0,1.0
11,33.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
12,33.0,1.0,0.0,0.0,1.5,0.0,0.0,1.0
13,32.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
14,40.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
15,24.0,1.0,0.0,0.0,1.5,0.0,0.0,1.0
16,29.0,2.0,0.0,0.0,1.5,0.0,0.0,1.0
17,30.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9979018890552837
18,31.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9967049455476722
19,43.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9928247854379681
20,35.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9892565076962169
21,32.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9874771809445709
22,36.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9839281228459688
23,38.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9818637324826113
24,37.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9800977027500946
25,32.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9786284380193153
26,46.0,1.0,0.0,0.0,1.5,0.0,0.0,0.975111182886237
27,36.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9713150870293208
28,37.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9681145509271917
29,37.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9652141250032966
30,37.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9614565582711454
31,34.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9588637385034599
32,32.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9565648804184144
33,26.0,2.0,0.0,0.0,1.5,0.0,0.0,0.954844354479821
34,34.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9516980903383123
35,34.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9502713994741664
36,36.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9479931413630835
37,33.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9454366292301003
38,31.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9437361191265148
39,41.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9406264572253645
40,35.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9378083843448103
41,35.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9349987542788282
42,37.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9319178824706209
43,31.0,2.0,0.0,0.0,1.5,0.0,0.0,0.930241687868193
44,38.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9282899376016454
45,29.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9266202684042146
46,38.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9230129470817245
47,37.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9196955776901388
48,32.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9180413667428027
49,35.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9158403795393061
50,47.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9122750241917494
51,38.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9109074324567065
52,30.0,0.0,0.0,0.0,1.5,0.0,0.0,0.9079059428657316
53,29.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9070890726272437
54,31.0,1.0,0.0,0.0,1.5,0.0,0.0,0.9046428690433931
55,33.0,2.0,0.0,0.0,1.5,0.0,0.0,0.9027448279387936
56,29.0,3.0,0.0,0.0,1.5,0.0,0.0,0.9016620215299852
57,30.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8995003035038057
58,37.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8984213887726265
59,37.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8949238453421531
60,31.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8922426953496692
61,26.0,3.0,0.0,0.0,1.5,0.0,0.0,0.891707430034302
62,32.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8898365289158622
63,27.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8885025747351447
64,30.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8861064945174849
65,31.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8845126985927314
66,43.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8813337016327668
67,33.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8786932670753377
68,30.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8768496711146384
69,38.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8747474402398352
70,37.0,2.0,0.0,0.0,1.5,0.0,0.0,0.872650249424687
71,37.0,3.0,0.0,0.0,1.5,0.0,0.0,0.871603540262273
72,28.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8700358300840204
73,36.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8676895502865297
74,29.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8648304659706199
75,24.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8632749381860986
76,32.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8619808024932146
77,36.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8596562451901905
78,33.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8575952352361591
79,37.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8540003505316477
80,42.0,1.0,0.0,0.0,1.5,0.0,0.0,0.8511863728743391
81,33.0,2.0,0.0,0.0,1.5,0.0,0.0,0.8494004894294178
82,29.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8486362583041298
83,34.0,2.0,0.0,0.0,1.5,0.0,0.0,0.846601668564914
84,35.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8438120699675611
85,29.0,1.0,0.0,0.0,1.5,0.0,0.0,0.841536509416851
86,42.0,3.0,0.0,0.0,1.5,0.0,0.0,0.8397708724560651
