opponent,episode,p0,p1,p2,p3
single_only,2000,0.542,0.1175,0.1865,0.154
max_combo,2000,0.313,0.233,0.2105,0.2435
random2,2000,0.3205,0.264,0.238,0.1775
single_only,4000,0.6035,0.134,0.1595,0.103
max_combo,4000,0.3595,0.2285,0.2335,0.1785
random2,4000,0.4,0.281,0.2005,0.1185
single_only,6000,0.5985,0.122,0.188,0.0915
max_combo,6000,0.338,0.2555,0.2335,0.173
random2,6000,0.417,0.2885,0.193,0.1015
single_only,8000,0.6285,0.108,0.1665,0.097
max_combo,8000,0.355,0.237,0.2175,0.1905
random2,8000,0.4325,0.274,0.1845,0.109
single_only,10000,0.6385,0.134,0.144,0.0835
max_combo,10000,0.3705,0.2395,0.211,0.179
random2,10000,0.4325,0.284,0.177,0.1065
single_only,12000,0.6065,0.1365,0.1725,0.0845
max_combo,12000,0.3695,0.248,0.225,0.1575
random2,12000,0.4195,0.301,0.1825,0.097
single_only,14000,0.6445,0.1325,0.154,0.069
max_combo,14000,0.3735,0.2535,0.2195,0.1535
random2,14000,0.4135,0.303,0.183,0.1005
single_only,16000,0.629,0.1355,0.1495,0.086
max_combo,16000,0.364,0.237,0.2265,0.1725
random2,16000,0.4285,0.291,0.183,0.0975
single_only,18000,0.64,0.1275,0.1525,0.08
max_combo,18000,0.357,0.26,0.22,0.163
random2,18000,0.4385,0.2705,0.1875,0.1035
single_only,20000,0.6175,0.1205,0.1655,0.0965
max_combo,20000,0.3875,0.2255,0.217,0.17
random2,20000,0.4395,0.288,0.189,0.0835
single_only,22000,0.6185,0.1445,0.1525,0.0845
max_combo,22000,0.366,0.2445,0.218,0.1715
random2,22000,0.4255,0.2875,0.185,0.102
single_only,24000,0.635,0.117,0.165,0.083
max_combo,24000,0.3815,0.2475,0.2125,0.1585
random2,24000,0.4135,0.2895,0.204,0.093
single_only,26000,0.6315,0.1375,0.151,0.08
max_combo,26000,0.361,0.26,0.2145,0.1645
random2,26000,0.419,0.283,0.2075,0.0905
single_only,28000,0.6335,0.124,0.1615,0.081
max_combo,28000,0.3595,0.251,0.2365,0.153
random2,28000,0.424,0.284,0.1975,0.0945
single_only,30000,0.594,0.1455,0.1745,0.086
max_combo,30000,0.3755,0.2555,0.2165,0.1525
random2,30000,0.439,0.286,0.178,0.097
single_only,32000,0.561,0.159,0.1875,0.0925
max_combo,32000,0.363,0.2425,0.2365,0.158
random2,32000,0.437,0.271,0.19,0.102
single_only,34000,0.6125,0.13,0.1685,0.089
max_combo,34000,0.369,0.241,0.2235,0.1665
random2,34000,0.423,0.299,0.1895,0.0885
single_only,36000,0.6265,0.142,0.1675,0.064
max_combo,36000,0.368,0.2565,0.225,0.1505
random2,36000,0.419,0.2985,0.1805,0.102
single_only,38000,0.5945,0.144,0.1775,0.084
max_combo,38000,0.3685,0.2475,0.23,0.154
random2,38000,0.429,0.2965,0.1905,0.084
single_only,40000,0.5995,0.1305,0.1795,0.0905
max_combo,40000,0.373,0.2365,0.212,0.1785
random2,40000,0.417,0.286,0.2025,0.0945
single_only,42000,0.626,0.1185,0.179,0.0765
max_combo,42000,0.3795,0.241,0.2235,0.156
random2,42000,0.41,0.2995,0.204,0.0865
single_only,44000,0.6045,0.139,0.1785,0.078
max_combo,44000,0.365,0.2375,0.2255,0.172
random2,44000,0.427,0.296,0.1925,0.0845
single_only,46000,0.628,0.139,0.1635,0.0695
max_combo,46000,0.3565,0.246,0.223,0.1745
random2,46000,0.416,0.27,0.2045,0.1095
single_only,48000,0.6005,0.1525,0.161,0.086
max_combo,48000,0.401,0.222,0.209,0.168
random2,48000,0.4065,0.305,0.193,0.0955
single_only,50000,0.6295,0.1375,0.1585,0.0745
max_combo,50000,0.3675,0.246,0.239,0.1475
random2,50000,0.4205,0.3105,0.1775,0.0915
single_only,52000,0.607,0.145,0.175,0.073
max_combo,52000,0.377,0.2435,0.2095,0.17
random2,52000,0.435,0.289,0.1935,0.0825
single_only,54000,0.6235,0.1385,0.1595,0.0785
max_combo,54000,0.361,0.241,0.2245,0.1735
random2,54000,0.4065,0.294,0.201,0.0985
single_only,56000,0.621,0.1395,0.1625,0.077
max_combo,56000,0.365,0.2515,0.2315,0.152
random2,56000,0.415,0.2905,0.21,0.0845
single_only,58000,0.634,0.1145,0.1625,0.089
max_combo,58000,0.3515,0.253,0.23,0.1655
random2,58000,0.4125,0.3085,0.1835,0.0955
single_only,60000,0.624,0.141,0.1525,0.0825
max_combo,60000,0.3705,0.2485,0.226,0.155
random2,60000,0.424,0.282,0.216,0.078
single_only,62000,0.615,0.132,0.165,0.088
max_combo,62000,0.3575,0.243,0.245,0.1545
random2,62000,0.435,0.2975,0.194,0.0735
single_only,64000,0.6295,0.15,0.15,0.0705
max_combo,64000,0.374,0.263,0.2065,0.1565
random2,64000,0.4255,0.2855,0.1915,0.0975
single_only,66000,0.5935,0.1425,0.171,0.093
max_combo,66000,0.374,0.253,0.2285,0.1445
random2,66000,0.423,0.296,0.1965,0.0845
single_only,68000,0.6315,0.1195,0.165,0.084
max_combo,68000,0.355,0.2505,0.23,0.1645
random2,68000,0.429,0.284,0.1965,0.0905
single_only,70000,0.6105,0.1245,0.1765,0.0885
max_combo,70000,0.3755,0.23,0.2225,0.172
random2,70000,0.4295,0.29,0.194,0.0865
single_only,72000,0.62,0.1295,0.162,0.0885
max_combo,72000,0.3575,0.2575,0.222,0.163
random2,72000,0.425,0.277,0.2045,0.0935
single_only,74000,0.6185,0.1305,0.17,0.081
max_combo,74000,0.3525,0.246,0.235,0.1665
random2,74000,0.41,0.2865,0.214,0.0895
single_only,76000,0.6085,0.158,0.156,0.0775
max_combo,76000,0.383,0.239,0.2135,0.1645
random2,76000,0.4335,0.2905,0.185,0.091
single_only,78000,0.621,0.139,0.16,0.08
max_combo,78000,0.3805,0.242,0.217,0.1605
random2,78000,0.44,0.287,0.1735,0.0995
single_only,80000,0.6135,0.1505,0.16,0.076
max_combo,80000,0.386,0.25,0.2,0.164
random2,80000,0.411,0.3115,0.1915,0.086
single_only,82000,0.609,0.145,0.165,0.081
max_combo,82000,0.3705,0.244,0.2295,0.156
random2,82000,0.423,0.293,0.197,0.087
single_only,84000,0.632,0.142,0.1385,0.0875
max_combo,84000,0.3675,0.251,0.22,0.1615
random2,84000,0.4055,0.313,0.1815,0.1
single_only,86000,0.618,0.135,0.1605,0.0865
max_combo,86000,0.3745,0.247,0.2185,0.16
random2,86000,0.414,0.291,0.2,0.095
single_only,88000,0.606,0.1435,0.167,0.0835
max_combo,88000,0.3555,0.25,0.2205,0.174
random2,88000,0.417,0.3,0.19,0.093
single_only,90000,0.623,0.136,0.166,0.075
max_combo,90000,0.363,0.2465,0.2205,0.17
random2,90000,0.405,0.31,0.199,0.086
single_only,92000,0.617,0.1175,0.178,0.0875
max_combo,92000,0.362,0.2425,0.2315,0.164
random2,92000,0.4205,0.2925,0.181,0.106
single_only,94000,0.6235,0.1375,0.1615,0.0775
max_combo,94000,0.37,0.254,0.2195,0.1565
random2,94000,0.433,0.2925,0.1795,0.095
single_only,96000,0.618,0.1315,0.171,0.0795
max_combo,96000,0.3705,0.2555,0.229,0.145
random2,96000,0.4285,0.2895,0.181,0.101
single_only,98000,0.601,0.1455,0.1765,0.077
max_combo,98000,0.3805,0.239,0.2265,0.154
random2,98000,0.4395,0.288,0.19,0.0825
single_only,100000,0.6205,0.141,0.1515,0.087
max_combo,100000,0.3665,0.2415,0.2335,0.1585
random2,100000,0.4135,0.2985,0.194,0.094
