episode,steps,ep_seconds,train_seconds,eval_seconds,plot_seconds,save_seconds,cum_seconds
500,90,32.99309732601978,0.0,30.43890414503403,2.3084257829468697,0.005747379967942834,187.7788310230244
1000,81,33.436228296021,0.0,30.691181655041873,2.5281454959185794,0.004573391983285546,343.1071702350164
1500,87,30.210116373025812,0.0,27.813827181002125,2.134609265020117,0.006111377966590226,514.4962597449776
2000,94,28.751462821965106,0.0,25.866503195022233,2.5525029690470546,0.006351629970595241,696.3347398260375
2500,86,31.65003961091861,0.0,28.948198821977712,2.393966102041304,0.005573080037720501,898.4337266189978
3000,82,31.20064865797758,0.0,28.331158554996364,2.562975018983707,0.005101446993649006,1094.056010762928
3500,95,31.697758957045153,0.0,28.733057285891846,2.6226284520234913,0.006583231966942549,1282.5588450309588
4000,88,36.28916218096856,0.0,32.868971127900295,3.0887583780568093,0.00845060998108238,1491.43722870294
4500,143,49.57092173793353,0.0,46.419299707049504,2.657452660962008,0.006440078024752438,1750.2001210580347
5000,149,48.883790090098046,0.0,45.364314427017234,2.993370961979963,0.008325385977514088,2060.7071800560225
5500,151,43.296650676988065,0.0,39.718663824955,3.0227551190182567,0.005843764985911548,2378.152004827978
6000,114,29.813749060034752,0.0,27.134309335029684,2.3147672270424664,0.004329817951656878,2639.2109563089907
6500,111,33.97250534594059,0.0,31.15456124499906,2.474902176996693,0.004259165027178824,2834.96050917299
7000,98,32.51924585504457,0.0,29.679494500975125,2.5517668920801952,0.004044495057314634,3024.6464563870104
7500,104,33.73122526705265,0.0,30.986328909057193,2.431024646037258,0.004048228031024337,3217.726322030998
8000,103,32.74336935195606,0.0,29.946931409998797,2.500319882063195,0.004360892926342785,3403.9762511829613
8500,114,33.23405176599044,0.0,30.34647422202397,2.5542906469199806,0.0038238069973886013,3588.7978778369725
9000,94,36.46991296496708,0.0,33.726241850992665,2.473203166970052,0.004651395953260362,3774.4325492159696
9500,98,33.81396652699914,0.0,31.117463713046163,2.3872978310100734,0.004005647962912917,3957.1200912790373
10000,104,32.9083237471059,0.0,30.00410084798932,2.5878722179913893,0.004172428976744413,4138.491586375982
