opponent,episode,p0,p1,p2,p3
single_only,5000,0.516,0.3245,0.104,0.0555
max_combo,5000,0.288,0.322,0.209,0.181
random2,5000,0.6815,0.2235,0.0595,0.0355
single_only,10000,0.6355,0.2315,0.0855,0.0475
max_combo,10000,0.388,0.2995,0.18,0.1325
random2,10000,0.788,0.146,0.034,0.032
single_only,15000,0.653,0.2625,0.055,0.0295
max_combo,15000,0.4065,0.266,0.18,0.1475
random2,15000,0.7785,0.1545,0.0325,0.0345
single_only,20000,0.6685,0.237,0.0595,0.035
max_combo,20000,0.354,0.2895,0.185,0.1715
random2,20000,0.765,0.162,0.041,0.032
single_only,25000,0.8075,0.151,0.0285,0.013
max_combo,25000,0.384,0.2765,0.176,0.1635
random2,25000,0.7745,0.151,0.0445,0.03
single_only,30000,0.6125,0.282,0.0725,0.033
max_combo,30000,0.3965,0.286,0.165,0.1525
random2,30000,0.76,0.155,0.046,0.039
single_only,35000,0.6885,0.2265,0.0695,0.0155
max_combo,35000,0.401,0.3345,0.167,0.0975
random2,35000,0.782,0.175,0.0275,0.0155
single_only,40000,0.607,0.2875,0.0815,0.024
max_combo,40000,0.438,0.2975,0.162,0.1025
random2,40000,0.765,0.1855,0.0305,0.019
single_only,45000,0.604,0.3115,0.0695,0.015
max_combo,45000,0.398,0.3335,0.174,0.0945
random2,45000,0.767,0.2055,0.0175,0.01
single_only,50000,0.561,0.331,0.0915,0.0165
max_combo,50000,0.3775,0.3595,0.176,0.087
random2,50000,0.748,0.2075,0.0295,0.015
single_only,55000,0.6145,0.3015,0.0755,0.0085
max_combo,55000,0.4235,0.3305,0.167,0.079
random2,55000,0.7825,0.181,0.0285,0.008
single_only,60000,0.6765,0.253,0.059,0.0115
max_combo,60000,0.423,0.342,0.156,0.079
random2,60000,0.798,0.174,0.0245,0.0035
single_only,65000,0.6325,0.313,0.0485,0.006
max_combo,65000,0.439,0.283,0.167,0.111
random2,65000,0.8115,0.155,0.0215,0.012
single_only,70000,0.588,0.319,0.085,0.008
max_combo,70000,0.4435,0.323,0.157,0.0765
random2,70000,0.804,0.1615,0.028,0.0065
single_only,75000,0.6905,0.2405,0.054,0.015
max_combo,75000,0.4395,0.301,0.1605,0.099
random2,75000,0.803,0.1535,0.0325,0.011
single_only,80000,0.694,0.2395,0.0585,0.008
max_combo,80000,0.444,0.3245,0.1645,0.067
random2,80000,0.817,0.1595,0.0185,0.005
single_only,85000,0.6365,0.282,0.069,0.0125
max_combo,85000,0.449,0.3065,0.159,0.0855
random2,85000,0.804,0.1625,0.028,0.0055
single_only,90000,0.758,0.176,0.0545,0.0115
max_combo,90000,0.4655,0.28,0.1535,0.101
random2,90000,0.833,0.1345,0.0245,0.008
single_only,95000,0.803,0.157,0.034,0.006
max_combo,95000,0.4285,0.3005,0.1615,0.1095
random2,95000,0.8415,0.133,0.018,0.0075
single_only,100000,0.7155,0.2225,0.0545,0.0075
max_combo,100000,0.458,0.281,0.17,0.091
random2,100000,0.8325,0.1355,0.024,0.008
