opponent,episode,p0,p1,p2,p3
single_only,500,0.124,0.3085,0.3015,0.266
max_combo,500,0.0955,0.158,0.274,0.4725
random2,500,0.363,0.2865,0.197,0.1535
single_only,1000,0.454,0.229,0.192,0.125
max_combo,1000,0.126,0.1815,0.259,0.4335
random2,1000,0.428,0.2895,0.1765,0.106
single_only,1500,0.6265,0.1785,0.1325,0.0625
max_combo,1500,0.0945,0.1745,0.2775,0.4535
random2,1500,0.411,0.289,0.2005,0.0995
single_only,2000,0.6715,0.184,0.1115,0.033
max_combo,2000,0.1325,0.1955,0.294,0.378
random2,2000,0.446,0.2825,0.2025,0.069
single_only,2500,0.8215,0.097,0.0605,0.021
max_combo,2500,0.159,0.219,0.277,0.345
random2,2500,0.5255,0.3025,0.13,0.042
single_only,3000,0.756,0.1475,0.071,0.0255
max_combo,3000,0.12,0.218,0.293,0.369
random2,3000,0.46,0.3255,0.1525,0.062
single_only,3500,0.7685,0.1325,0.067,0.032
max_combo,3500,0.1555,0.213,0.2755,0.356
random2,3500,0.539,0.278,0.1425,0.0405
single_only,4000,0.4905,0.268,0.183,0.0585
max_combo,4000,0.1445,0.216,0.293,0.3465
random2,4000,0.5025,0.322,0.139,0.0365
single_only,4500,0.525,0.256,0.1665,0.0525
max_combo,4500,0.135,0.222,0.341,0.302
random2,4500,0.492,0.3145,0.1485,0.045
single_only,5000,0.558,0.2665,0.143,0.0325
max_combo,5000,0.167,0.238,0.291,0.304
random2,5000,0.5695,0.2815,0.125,0.024
single_only,5500,0.607,0.254,0.1125,0.0265
max_combo,5500,0.22,0.2605,0.29,0.2295
random2,5500,0.603,0.282,0.096,0.019
single_only,6000,0.5985,0.252,0.1245,0.025
max_combo,6000,0.231,0.269,0.2535,0.2465
random2,6000,0.615,0.273,0.0935,0.0185
single_only,6500,0.64,0.219,0.1075,0.0335
max_combo,6500,0.2635,0.259,0.273,0.2045
random2,6500,0.6925,0.219,0.069,0.0195
single_only,7000,0.644,0.229,0.1,0.027
max_combo,7000,0.27,0.283,0.2585,0.1885
random2,7000,0.661,0.233,0.0815,0.0245
single_only,7500,0.6795,0.1825,0.114,0.024
max_combo,7500,0.2945,0.288,0.2355,0.182
random2,7500,0.694,0.221,0.0665,0.0185
single_only,8000,0.6895,0.1845,0.0975,0.0285
max_combo,8000,0.297,0.2675,0.255,0.1805
random2,8000,0.698,0.2075,0.079,0.0155
single_only,8500,0.6985,0.1795,0.096,0.026
max_combo,8500,0.3015,0.275,0.258,0.1655
random2,8500,0.7,0.222,0.064,0.014
single_only,9000,0.6635,0.188,0.112,0.0365
max_combo,9000,0.3045,0.274,0.246,0.1755
random2,9000,0.692,0.225,0.0635,0.0195
single_only,9500,0.702,0.2075,0.0775,0.013
max_combo,9500,0.2965,0.293,0.24,0.1705
random2,9500,0.7155,0.207,0.0625,0.015
single_only,10000,0.6475,0.234,0.0965,0.022
max_combo,10000,0.2825,0.283,0.2345,0.2
random2,10000,0.6825,0.2275,0.075,0.015
single_only,10500,0.662,0.2215,0.0935,0.023
max_combo,10500,0.2955,0.2805,0.255,0.169
random2,10500,0.698,0.225,0.065,0.012
single_only,11000,0.7065,0.195,0.077,0.0215
max_combo,11000,0.338,0.285,0.2175,0.1595
random2,11000,0.7355,0.191,0.055,0.0185
single_only,11500,0.564,0.2865,0.127,0.0225
max_combo,11500,0.303,0.2805,0.2575,0.159
random2,11500,0.6765,0.241,0.066,0.0165
single_only,12000,0.7535,0.1615,0.0685,0.0165
max_combo,12000,0.326,0.284,0.244,0.146
random2,12000,0.727,0.196,0.065,0.012
single_only,12500,0.696,0.1995,0.0825,0.022
max_combo,12500,0.308,0.28,0.2525,0.1595
random2,12500,0.7165,0.2015,0.0645,0.0175
single_only,13000,0.749,0.1645,0.0705,0.016
max_combo,13000,0.329,0.291,0.217,0.163
random2,13000,0.7425,0.186,0.0565,0.015
single_only,13500,0.6685,0.2215,0.095,0.015
max_combo,13500,0.326,0.289,0.239,0.146
random2,13500,0.7285,0.2145,0.0445,0.0125
single_only,14000,0.8065,0.136,0.0455,0.012
max_combo,14000,0.352,0.2715,0.2125,0.164
random2,14000,0.7735,0.174,0.044,0.0085
single_only,14500,0.7345,0.179,0.0705,0.016
max_combo,14500,0.308,0.285,0.244,0.163
