episode,wall_s,steps,p0_transitions,train_calls,epsilon
181,0.048726,74,25,25,0.1
182,0.040864,70,22,22,0.1
183,0.027033,80,20,20,0.1
184,0.02759,77,21,21,0.1
185,0.028104,70,22,22,0.1
186,0.027203,75,21,21,0.1
187,0.026915,71,20,20,0.1
188,0.023198,67,18,18,0.1
189,0.027194,76,18,18,0.1
190,0.021594,72,11,11,0.1
191,0.036751,72,21,21,0.1
192,0.035133,68,16,16,0.1
193,0.044614,74,24,24,0.1
194,0.033413,84,21,21,0.1
195,0.03261,76,22,22,0.1
196,0.028197,77,19,19,0.1
197,0.02775,67,19,19,0.1
198,0.018597,70,13,13,0.1
199,0.030719,73,20,20,0.1
200,0.032478,69,22,22,0.1
201,0.03393,71,20,20,0.1
202,0.038278,73,19,19,0.1
203,0.039625,81,20,20,0.1
204,0.031809,75,21,21,0.1
205,0.017228,58,13,13,0.1
206,0.027168,82,21,21,0.1
207,0.025373,68,20,20,0.1
208,0.026534,74,21,21,0.1
209,0.021641,73,17,17,0.1
210,0.025174,81,20,20,0.1
211,0.029168,77,23,23,0.1
212,0.029964,77,23,23,0.1
213,0.025821,72,18,18,0.1
214,0.046947,86,25,25,0.1
215,0.039369,74,23,23,0.1
216,0.023049,66,14,14,0.1
217,0.034642,71,21,21,0.1
218,0.026327,78,16,16,0.1
219,0.029098,67,18,18,0.1
220,0.02071,69,16,16,0.1
221,0.026044,68,21,21,0.1
222,0.026812,76,22,22,0.1
223,0.032237,79,24,24,0.1
224,0.03479,75,23,23,0.1
225,0.032827,72,19,19,0.1
226,0.034305,76,22,22,0.1
227,0.035814,73,24,24,0.1
228,0.03691,74,21,21,0.1
229,0.02834,62,18,18,0.1
230,0.027491,85,18,18,0.1
231,0.037976,74,25,25,0.1
232,0.030658,72,19,19,0.1
233,0.028664,72,19,19,0.1
234,0.033574,77,19,19,0.1
235,0.037217,84,24,24,0.1
236,0.030577,80,19,19,0.1
237,0.02534,66,19,19,0.1
238,0.031035,82,24,24,0.1
239,0.028269,80,22,22,0.1
240,0.030647,80,24,24,0.1
241,0.025265,76,20,20,0.1
242,0.0289,71,23,23,0.1
243,0.027666,70,22,22,0.1
244,0.027631,69,17,17,0.1
245,0.094209,74,22,22,0.1
246,0.030554,76,19,19,0.1
247,0.030891,72,19,19,0.1
248,0.03326,78,21,21,0.1
249,0.032071,76,20,20,0.1
250,0.034349,79,22,22,0.1
251,0.026888,83,21,21,0.1
252,0.0288,80,23,23,0.1
253,0.025034,69,20,20,0.1
